游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,CFPLS20，新阵容，新面貌，加油！,无,304.6,白鲨AyoM,https://www.douyu.com//728
穿越火线,【直播】夏季赛 AG 0:0 WE,无,266.1,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,来来来，看比赛啦~,无,185.2,汉宫年鹏Enpi,https://www.douyu.com//92224
穿越火线,一起观看CFPLS20夏赛季咯！,无,148.6,白鲨石头丶,https://www.douyu.com//717
穿越火线,【超欧】送礼物拿斗鱼皮肤/苹果/幻神,无,95.1,橙子大小姐,https://www.douyu.com//5727882
穿越火线,开钻粉办卡拿斗鱼全套皮肤苹果,肖晨杯生化赛事创始人,87.8,肖晨吖,https://www.douyu.com//3357246
穿越火线,最欧 送礼拿斗鱼皮肤苹果,无,86.9,小脑妹,https://www.douyu.com//5621575
穿越火线,送礼拿斗鱼皮肤苹果白鲨鼠标垫,无,61,白鲨暖文,https://www.douyu.com//6724991
穿越火线,苗族妹妹的排位之路/荣耀之巅,无,29.6,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,吃土的第四天.,CFS世界总决赛三冠王,58.9,白鲨常旭DBQ,https://www.douyu.com//9442053
穿越火线,别打我~我是主播~,无,12.8,丢宝宝吖,https://www.douyu.com//2019797
穿越火线,我和我的怨种队友............,爆破残局收割王,8.7,小江江超哇塞,https://www.douyu.com//8824929
穿越火线,送礼拿斗鱼皮肤/送苹果,无,45.2,情久月姐姐,https://www.douyu.com//897371
穿越火线,这小子上分太快了吧？,无,3.4,CF于浪,https://www.douyu.com//9356096
穿越火线,没号秒上  荣耀/之巅/首胜,顶尖女突破手,25.1,情久小悦儿BiuBiu,https://www.douyu.com//18272
穿越火线,【二台小鹿】带教练们看比赛~,无,37,传情小小,https://www.douyu.com//10717
穿越火线,硬蛋已上线 6烈6盘突突起来！,无,34.5,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,荣耀世冠-龙儿 粉烟 召集币 6盘6列,无,33.5,老V丶,https://www.douyu.com//600594
穿越火线,【重播】CFEL  S1,无,31.8,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,川：场均20杀,无,30.8,你好我是夏洛克,https://www.douyu.com//122943
穿越火线,一起看CFPLS20啦~~~,无,30.7,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,百城AK6件套，周省冠礼包,无,29.9,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,小哲：直播 直播,无,26,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,拼团/荣耀世冠/龙儿小淘气,无,25.6,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,今晚解说CFPL~47895,无,25.5,白鲨加菲,https://www.douyu.com//47895
穿越火线,送全部活动，秒上号,无,24.8,猛叔是个大帅BBBBBBBB,https://www.douyu.com//148278
穿越火线,极速上分，猛猛上，,无,24.4,214514加藤鹰,https://www.douyu.com//214514
穿越火线,慢热女孩小筱雪??,无,24.2,小筱雪y,https://www.douyu.com//8861097
穿越火线,这个月真是非常的不顺心啊,无,20.9,大娇娇Claire,https://www.douyu.com//10302
穿越火线,风雨同行`-`,无,20.3,CF王振,https://www.douyu.com//24939
穿越火线,秒上号女主播天花板的北部排位日记,无,20.3,李冰冰吖,https://www.douyu.com//5264254
穿越火线,新主播秒上号炸鱼天花板,斗神杯CF邀请赛亚军,20.2,CF暴风雪,https://www.douyu.com//3992
穿越火线,你刷礼物的样子真帅！！！,无,19.3,KZ丶折耳猫,https://www.douyu.com//8833574
穿越火线,渣渣枫：斗鱼最强女鬼救世主,无,18.8,渣渣枫007,https://www.douyu.com//3859824
穿越火线,皮皮拉:上分我是专业的！,无,18.7,皮皮拉3004O1,https://www.douyu.com//300401
穿越火线,老公你的QBZ跟M4真猛QAQ,无,17.4,失心酷,https://www.douyu.com//62272
穿越火线,做人要乘以10,无,17.2,白鲨小不点,https://www.douyu.com//7245824
穿越火线,情话多说一点，想我就多看一眼,CFPL火线演播厅常驻主播,16.7,天然柚子tea,https://www.douyu.com//7479240
穿越火线,冷风：冲冲冲,无,15.8,生化利刃一冷风,https://www.douyu.com//5068724
穿越火线,帮打排位/首胜  可可爱爱没有脑袋,无,15.6,小璐娜QwQ,https://www.douyu.com//6688811
穿越火线,今天是超甜的丸子,无,15,逮只沈丸子,https://www.douyu.com//7559478
穿越火线,打排位秒上号0.0,CF枪王之王TOP前100追击手,14.8,只会突飞猛进,https://www.douyu.com//9973533
穿越火线,清晨：达咩哟,无,14.7,Cz丶清晨,https://www.douyu.com//5319170
穿越火线,晚上比赛加油吖,CFPL S18冠军、CFS世界冠军,13.9,LGDmino,https://www.douyu.com//5406876
穿越火线,今天希望有你的陪伴,下饭一姐在线喂饭,13.6,大嗓门的懵兜儿,https://www.douyu.com//2057282
穿越火线,卡牌荣耀之巅滴滴,无,12.4,小优优mm,https://www.douyu.com//5131791
穿越火线,开开心心每一天啦,无,11.9,走路带点迷,https://www.douyu.com//9320213
穿越火线,举目见日，不见长安,CF上分女武神,11.5,李莹吖y,https://www.douyu.com//8727515
